"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 14 15:15:12 GMT 2025","Sun Sep 14 15:15:13 GMT 2025","1670","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sun Sep 14 15:15:14 GMT 2025","Sun Sep 14 15:15:18 GMT 2025","3799","LMS system","Courses","Courses","","","Edit course",""
"passed","Sun Sep 14 15:15:10 GMT 2025","Sun Sep 14 15:15:11 GMT 2025","1803","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Sun Sep 14 15:15:06 GMT 2025","Sun Sep 14 15:15:07 GMT 2025","1512","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Sep 14 15:15:06 GMT 2025","Sun Sep 14 15:15:09 GMT 2025","3250","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Sun Sep 14 15:15:18 GMT 2025","Sun Sep 14 15:15:18 GMT 2025","0","tests.test_pytest","test_markers","TestSuite","","","test_regression_case",""
"passed","Sun Sep 14 15:15:04 GMT 2025","Sun Sep 14 15:15:05 GMT 2025","1914","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Sep 14 15:15:20 GMT 2025","Sun Sep 14 15:15:20 GMT 2025","0","tests.test_pytest","test_markers","TestSuite","","","test_some_case",""
"passed","Sun Sep 14 15:15:14 GMT 2025","Sun Sep 14 15:15:17 GMT 2025","3639","LMS system","Courses","Courses","","","Create course",""
"passed","Sun Sep 14 15:15:08 GMT 2025","Sun Sep 14 15:15:09 GMT 2025","1659","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Sun Sep 14 15:15:18 GMT 2025","Sun Sep 14 15:15:18 GMT 2025","0","tests.test_pytest","test_markers","","","","test_password_reset",""
"passed","Sun Sep 14 15:15:03 GMT 2025","Sun Sep 14 15:15:05 GMT 2025","1906","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Sep 14 15:15:18 GMT 2025","Sun Sep 14 15:15:18 GMT 2025","0","tests.test_pytest","test_markers","","","","test_regression_case",""
"passed","Sun Sep 14 15:15:18 GMT 2025","Sun Sep 14 15:15:20 GMT 2025","1781","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
